All,Kõik
"We could not detect a size.","Ei suuda tuvastada suurust."
"Allow everything","Luba kõik"
"Magento Admin","Magento Haldus"
"Global Search","Globaalne otsing"
Marketing,Turundus
"SEO & Search","SEO & Otsi"
"User Content","Kasutaja sisu"
Content,Sisu
Elements,Elemendid
Design,Kujundus
Schedule,Ajakava
Settings,Seaded
Attributes,Atribuudid
"Other Settings","Muud seaded"
"Data Transfer","Andmete ülekanne"
"Connect Manager","Ühenduse Haldur"
"Package Extensions","Laienduste pakendamine"
Tools,Tööriistad
Currency,Valuuta
Communications,Side
Services,Teenused
Advanced,"Täpsemad seaded"
"Disable Modules Output","Keela mooduli väljundid"
"Store Email Addresses","Poe e-posti aadressid"
"Custom Email 1","Kohandatud e-post 1"
"Sender Email","Saatja e-posti aadress"
"Sender Name","Saatja nimi"
"Custom Email 2","Kohandatud e-post 2"
"General Contact",Üldkontakt
"Sales Representative",Müügiesindaja
"Customer Support",Klienditugi
Developer,Arendaja
"Template Settings","Malli seaded"
"Allow Symlinks","Luba symlinke"
"Minify Html","Html pisendaja"
"Minification is not applied in developer mode.","Pisendamist ei rakendata arendusrežiimis."
"Translate Inline","Dünaamiline tõlkimine"
"Enabled for Storefront","Poe fasaadi jaoks lubatud"
"Enabled for Admin","Lubatud haldusliideses"
"Translate, blocks and other output caches should be disabled for both Storefront and Admin inline translations.","Plokkide ja muude väljundite vahemälu peaks lehel tõlkimise režiimis olema välja lülitatud (mõlemale nii Admin kui Poe fasaadi tõlkimisel)."
"JavaScript Settings","JavaScripti seaded"
"Merge JavaScript Files","Liida JavaScripti failid"
"Enable JavaScript Bundling","Luba JavaScripti sidustamine"
"Minify JavaScript Files","Minimeeri JavaScripti faile"
"CSS Settings","CSS seaded"
"Merge CSS Files","Liida CSS failid"
"Minify CSS Files","Minimeer CSS faile"
"Image Processing Settings","Pilditöötluse seaded"
"Image Adapter","Pildi adapter"
"Static Files Settings","Staatiliste failide sätted"
"Sign Static Files","Allkirjasta staatilisi faile"
"Country Options","Riigi Valikud"
"Allow Countries","Lubatud riigid"
"Default Country",Vaikeriik
"European Union Countries","Euroopa Liidu riigid"
"Top destinations","Peamised sihtkohad"
"Locale Options",Lokaliseeringuseaded
Timezone,Ajatsoon
Locale,Keel
"First Day of Week","Nädala esimene päev"
"Weekend Days",Puhkepäevad
"Store Name","Poe nimi"
"Store Phone Number","Poe telefoninumber"
"Store Hours of Operation","Millal on pood avatud"
Country,Riik
Region/State,Piirkond/maakond
"ZIP/Postal Code",Postiindeks
City,Linn
"Street Address","Tänav, maja"
"Street Address Line 2","Aadress rida 2"
"VAT Number","KMKR number"
"Single-Store Mode","Ühe kaupluse Režiim"
"Enable Single-Store Mode","Rakenda Ühe kaupluse Režiim"
"This setting will not be taken into account if system has more than one store view.","Seda seadet ignoreeritakse kui kasutusel on rohkem kui üks poevaade."
"Mail Sending Settings","E-posti saatmise seaded"
"Disable Email Communications","Blokeerida e-posti side"
Host,Server
"Set Return-Path","Määra Tagastustee"
"Admin User Emails","Admini kasutaja e-postid"
"Forgot Password Email Template","Salasõna unustamise e-posti mall"
"Forgot and Reset Email Sender","Unusta ja lähtesta e-posti saatja"
"Startup Page",Avaleht
"Admin Base URL","Administraatori baas URL"
"Use Custom Admin URL","Kasutage kohtandatud administraatori URLi"
"Custom Admin URL","Kasutage kohtandatud administraatori URLi"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Veendu et baas URL lõppeb '/' (kaldkriips), n.t http://sinudomeen/magento/"
"Use Custom Admin Path","Kasutage kohtandatud administraatori URLi"
"Custom Admin Path","Kohandatud administraatori aadress"
Security,Turvalisus
"Recovery Link Expiration Period (hours)","Taastelingi aegumise periood (tundides)"
"Please enter a number 1 or greater in this field.","Sisestage sellele väljale 1 või suurem arv."
"Add Secret Key to URLs","Lisa linkidele salajane võti"
"Login is Case Sensitive","Kasutajanimi on tõstutundlik"
"Admin Session Lifetime (seconds)","Admin seansi eluiga (sekundit)"
"Please enter at least 60 and at most 31536000 (one year).","Palun sisestage vähemalt 60 ja kõige rohkem 31536000 (üks aasta)."
"Enable Charts","Luba graafikud"
"Url Options","Url-i seaded"
"Add Store Code to Urls","Lisa poe kood Url-idele"
"Auto-redirect to Base URL","Suuna automaatselt baasURL-ile"
"Search Engine Optimization","Otsimootorite jaoks optimeerimine"
"Use Web Server Rewrites","Kasuta veebiserveri suunamisi"
"Base URLs",BaasURL
"Base URL",BaasURL
"Specify URL or {{base_url}} placeholder.","Määrake URL või {{base_url}} kohatäide."
"Base Link URL","Baasi lingi URL"
"Base URL for Static View Files","Baas-URL staatiliste vaadete failide jaoks"
"May be empty or start with {{unsecure_base_url}} placeholder.","Võib olla tühi või alustada {{unsecure_base_url}} kohatäide."
"Base URL for User Media Files","Baas-URL kasutaja meediumifailidele"
"Base URLs (Secure)","Baas URL'id (turvaline)"
"Secure Base URL","Turvaline baasURL"
"Specify URL or {{base_url}}, or {{unsecure_base_url}} placeholder.","Määrake URL või {{base_url}} või {{unsecure_base_url}} kohatäide."
"Secure Base Link URL","Turvaline baas lingi URL"
"Secure Base URL for Static View Files","Turvaline Baas-URL staatiliste vaadete failide jaoks"
"Secure Base URL for User Media Files","Turvaline baas URL kasutaja meedia failide jaoks"
"Use Secure URLs on Storefront","Kasuta turvalisi URLe poevaates"
"Use Secure URLs in Admin","Kasuta turvalisi URL-e haldusliideses"
"Upgrade Insecure Requests","Uuenda ebaturvalised päringud"
"Default Pages","Vaikimisi lehed"
"Default Web URL","Vaikimisi veebi URL"
"Default No-route URL","Vaikimisi teekonnata URL"
"Session Validation Settings","Sessiooni valideerimise seaded"
"Validate REMOTE_ADDR","Kinnitada REMOTE_ADDR"
"Validate HTTP_VIA","Valideeri HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valideeri HTTP_X_FORWARDED_FOR"
"Validate HTTP_USER_AGENT","Kinnitada HTTP_USER_AGENT"
"Cache Type","Vahemälu tüüp"
Description,Kirjeldus
Tags,Märksõnad
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Viga 404</h1><p>Lehekülge ei leitud,</p>"
"Community Edition","Community versioon"
"Default Theme","Vaikimisi teema"
"Applied Theme","Rakendatud teema"
"Design Rule","Disaini reegel"
Pagination,Leheküljejaotus
"How many links to display at once.","Mitu linke korraga kuvatakse."
"Pagination Frame","Lehekülgjaotuse raam"
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.","Kui praegune kaadri asend ei kata äärmiseid leheti, muudab see lingi asukohta pluss/miinus see väärtus."
"Pagination Frame Skip","Lehekülgjaotuse raami vahe"
"Alternative text for the previous pages link in the pagination menu. If empty, the default arrow image is used.","Alternatiivtekst eelnevatele lehtede lingile lehejaotuse menüü jaoks. Kui tühi siis kasutatakse vaikesätetest tulenevat pilti."
"Anchor Text for Previous","Ankur tekst eelmisele"
"Alternative text for the next pages link in the pagination menu. If empty, default arrow image is used.","Alternatiivtekst järgmistele lehtede lingile lehejaotuse menüü jaoks. Kui tühi siis kasutatakse vaikesätetest tulenevat pilti."
"Anchor Text for Next","Ankur tekst järgmisele"
"Theme Name","Teema nimi"
"System Backup","Varukoopia süsteemist"
"Database and Media Backup","Varukoopia andmebaasist ja meediast"
"Database Backup","Varukoopia andmebaasist"
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","Arhiivi <a href=""%1"">%2</a> võib lahti pakkida Windowsi süsteemides."
"You need more permissions to activate maintenance mode right now.","Hoolduserežiimi aktiveerimiseks on teil vaja rohkem õiguseid."
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","Varukoopia tegemiseks palun tühistage valik ""Pane pood hooldusrežiimi"" või uuendage oma õigusi."
"Something went wrong while putting your store into maintenance mode.","Midagi läks valesti pannes poodi hooldusrežiimi."
"You need more free space to create a backup.","Varukoopia tegemiseks on vaja rohkem ruumi."
"You need more permissions to create a backup.","Varukoopia tegemiseks on vaja rohkem õiguseid."
Backups,Varukoopiad
Backup,Varukoopia
failed,nurjus
successful,edukas
"You deleted the selected backup(s).","Valitud varukoopia(d) kustutatud."
"Please correct the password.","Palun parandage salasõna."
"Failed to validate FTP.","FTP valideerimine ebaõnnestus."
Database,Andmebaas
"Database and Media","Andmebaas ja meedia"
"System (excluding Media)","Süsteem ilma meediata"
"You created the system backup.","Süsteemi varukoopia loodud."
"You created the system backup (excluding media).","Süsteemi varukoopia loodud (v. a meedia)."
"You created the database and media backup.","Andmebaasi ja meedia tagavara loodud."
"You created the database backup.","Andmebaasi varukoopia loodud."
"The backup file does not exist.","Varukoopia fail ei eksisteeri."
"The backup file path was not specified.","Varukoopia tee määramata."
"The backup file ""%1"" does not exist.","Varukoopia fail ""%1"" ei eksisteeri."
"Something went wrong while writing to the backup file ""%1"".","Varukoopia faili ""%1"" salvestades läks midagi valesti."
"You will lose any data created since the backup was made, including admin users, customers and orders.","Te kaotate kõik andmed alates varukoopia loomise kuupäevast, k. a. admini kasutajad, kliendid ja tellimused."
"Are you sure you want to continue?","Olete kindel et soovite jätkata?"
"This may take a few moments.","Selleks võib kuluda mõni moment."
"Be sure your store is in maintenance mode during backup.","Palun veenduge et teie pood on hooldusrežiimil varukoopia tegemise aegu."
"Backup Name","Varukoopia nimi"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Sellel väljal palun kasutage ainult tähti (a-z või A-Z), numbreid (0-9) või tühikuid."
"Maintenance mode",Hooldusrežiim
"Please put your store into maintenance mode during backup.","Palun pane oma pood hooldusrežiimi varundamise ajaks."
Exclude,Välista
"Exclude media folder from backup","Välista meedia kaust tagavarast"
"Please enter the password to confirm rollback.","Palun sisestage salasõna taastamiseks."
"This action cannot be undone.","Seda toimingut ei saa tühistada."
"User Password",Salasõna
"Use FTP Connection","Kasuta FTP ühendust"
"FTP credentials","FTP andmed"
"FTP Host","FTP aadress"
"FTP Login","FTP kasutaja"
"FTP Password","FTP salasõna"
"Magento root directory","Magento juurkataloog"
"Create Backup","Loo varukoopia"
Rollback,Taastamine
"Enable Scheduled Backup","Luba planeeritud varukoopia"
Frequency,Sagedus
"Maintenance Mode",Hooldusrežiim
"Are you sure you want to delete the selected backup(s)?","Olete kindel et soovite kustutada valitud varukoopiad?"
Size(bytes),Suurus(baitides)
Type,Tüüp
Download,"Lae alla"
"Save and Continue Edit","Salvesta ja jätka muutmist"
"Default Content","Vaikimisi sisu"
"No Default Content","Vaikesisu pole"
"Store View Specific Content","Poevaate spetsiifiline sisu"
"Use Default","Kasuta vaikeväärtust"
"Related Promotions","Seotud kampaaniad"
Rule,Reegel
"Start Date",Alguskuupäev
"End Date",Lõppkuupäev
Active,Aktiivne
Inactive,Mitteaktiivne
"Applies To","Kehtib järgmisele"
"Specify Types","Määra tüübid"
Position,Asukoht
"This rule no longer exists.","Seda reeglit pole enam."
"You deleted %1 record(s).","Kustutasid %1 kirjet."
"Please enter a name.","Palun sisesta nimi."
"-- None --","-- Täpsustamata --"
"Content Area",Sisuala
Footer,Jalus
Header,Päis
"Left Column","Vasak veerg"
"Right Column","Parem veerg"
"Rotation Mode","Paigutamise moodus"
"Display all instead of rotating","Paigutuse vahetamise asemel kuva kõiki"
"One at the time, Random","Üks korraga, juhuslik valik"
"One at the time, Series","Üks korraga, järjestikku"
"One at the time, Shuffle","Üks korraga, segatult"
Visibility,Nähtavus
"Customer Segment",Kliendisegment
"Allowed Credit Card Types","Lubatud krediitkaarditüübid"
"Add Rule","Lisa reegel"
"Braintree Settlement Report","Braintree Settlement aruanne"
"Sorry, but something went wrong","Vabandage, midagi läks valesti"
"No authorization transaction to proceed capture.","Puudulikud õigused."
"Braintree error response.","Braintree vea vastus."
"Wrong transaction status","Vale tehningu staatus"
Authorize,Autoriseeri
"Credit Card",Krediitkaart
expires,aegub
"Please agree to all the terms and conditions before placing the order.","Palun nõustuge tingimustega enne tellimuse esitamist."
"Please, enter valid Credit Card Number","Sisesta korrektne krediitkaardi number"
"Please, enter valid Expiration Date","Palun sisestage korrektne aegumiskuupäev"
"Please, enter valid Card Verification Number","Palun sisestage korrektne krediitkaardi kontrollkood"
"Are you sure you want to delete this PayPal account","Olete kindel et soovite kustutada seda PayPali kontot"
"PayPal Account","Paypali konto"
"PayPal Logo","Paypali logo"
"Credit Card Information","Krediitkaardi andmed"
"Save for later use.","Salvesta hilisemaks kasutamiseks."
"This payment is not available","Makse pole saadaval"
MM,KK
YY,AA
"Please try again with another form of payment.","Palun proovige uuesti teise makseviisiga."
"Sorry, but something went wrong.","Vabandage, midagi läks valesti."
"Payment ","Makse "
"Enable this Solution","Luba see lahendus"
"Enable PayPal through Braintree","Paypal Braintree kaudu"
"Basic Braintree Settings","Põhilised Braintree seaded"
"Merchant ID","Kaupmehe ID"
"Public Key","Avalik võti"
"Private Key","Salajane võti"
"Advanced Braintree Settings","Täpsemad Braintree seaded"
"Merchant Account ID","Kaupmehe konto ID"
"Advanced Fraud Protection","Täiustatud pettuse kaitse"
"Kount Merchant ID","Kount kaupmehe ID"
"CVV Verification","CVV kontrollimine"
"Country Specific Settings","Maakonna spetsiifilised seaded"
"Country Specific Credit Card Types","Riigispetsiifilised krediitkaardi tüübid"
"PayPal through Braintree","Paypal Braintree kaudu"
"Require Customer's Billing Address","Nõua kliendi arve aadressi"
"Display on Shopping Cart","Näita ostukorvis"
"Skip Order Review","Jätke tellimuse ülevaade vahele"
"3D Secure Verification Settings","3D kontrollimise seaded"
"3D Secure Verification","Turvaline 3D kontrollimine"
"Dynamic Descriptors","Dünaamilised kirjeldajad"
Phone,Telefon
URL,Veebiaadress
Select...,Vali...
"Transaction Type","Tehingu tüüp"
"Payment Type","Makse tüüp"
"PayPal Payment ID","PayPali makse ID"
"Created At",Loodud
"Transaction ID","Tehingu ID"
"Order ID","Tellimuse ID"
Amount,Kogus
"Refund Ids","Tagastused ID'd"
Month,Kuu
Year,Aasta
"Delete Credit Card","Kustuta krediitkaart"
"There was error deleting the credit card","Krediitkaardi kustutamisel ilmnes viga"
"Credit card successfully deleted","Krediitkaart edukalt kustutatud"
"Edit Credit Card","Muuda krediitkaarti"
"My Credit Cards","Minu krediitkaardid"
"New Credit Card","Uus krediitkaart"
"There was error during saving card data","Kaardiandmete salvestamisel ilmnes viga"
"We can't update shipping method.","Ei saa uuendada tarneviisi."
Invoice,Arve
Shipment,Saadetis
or,või
"* Required Fields","* Kohustuslikud väljad"
CVV,"Kontrollkood (CVV)"
"Billing Address",Arveldusaadress
Company,Ettevõte
Address,Aadress
State/Province,Maakond
"Please select region, state or province","Valige piirkond, maakond või vald"
"Zip/Postal Code",Postiindeks
"Card Number",Kaardinumber
"Is Default","On vaikeväärtus"
"Paypal account","Paypali konto"
"Coinbase account","Coinbase'i konto"
"Europe bank account","Euroopa pangakonto"
"Credit card",Krediitkaart
"Apple pay card","Apple maksekaart"
"Android pay card","Androidi maksekaart"
Authorizing,Autoriseerimine
Authorized,Autoriseeritud
Failed,Nurjus
Voided,Kehtetu
Unrecognized,Tundmatu
Sale,Müük
Credit,Krediit
"Percent Discount","Protsenti allahindlust"
"-- Select --","-- Vali --"
Dynamic,Dünaamiline
Fixed,Fikseeritud
"Create New Option","Loo uus valik"
"Delete Option","Kustuta valik"
"What are you looking for?","Mida te otsite?"
"Use Default Value","Kasuta vaikeväärtust"
"Price Range",Hinnavahemik
"As Low as",Alates
Together,Koos
Separately,Eraldi
"Please select all required options.","Palun valige kõik kohustuslikud valikud."
N/A,"Pole Saadaval"
Percent,Protsent
"We can't save custom-defined options for bundles with dynamic pricing.","Me ei saa kliendi poolt defineeritud omadusi dünaamilise hinnaga paketis salvestada."
"Add Selected Products","Lisage valitud tooted"
"Add Option","Lisa valik"
"New Option","Uus valik"
"Option Title","Valiku nimi"
"Default Title","Vaikimisi pealkiri"
"Store View Title","Poevaate nimi"
"Input Type","Sisendi tüüp"
Drop-down,Rippmenüü
"Radio Buttons","Raadio nupud"
Checkbox,Märkeruut
"Multiple Select",Multivalik
Required,Nõutud
"Default Quantity",Vaikekogus
"User Defined","Kasutaja määratud"
"Price Type",Hinnatüüp
Quantity:,Kogus:
"Choose a selection...","Tehke valik..."
"There are no products in this option.","Selle valikuga tooted puuduvad."
Default,Vaikimisi
Ordered,Tellitud
Invoiced,"Arve esitatud"
Shipped,Saadetud
Refunded,Tagastatud
Canceled,Tühistatud
"Regular Price",Tavahind
"As low as",Alates
"Go back to product details","Tagasi toote üksikasjadeni"
"Customize and Add to Cart","Kohanda ja lisa ostukorvi"
Availability,Saadavus
"In stock",Laos
"Out of stock","Laost otsas"
Availability:,Saadavus:
"Customize %1","Kohanda %1"
"Gift Message",Kinkesõnum
From:,Saatja:
To:,Saaja:
Message:,Sõnum:
"Product Name","Toote nimi"
"Discount Amount","Allahindluse määr"
"Row Total","Rea kogusumma"
"Qty Invoiced","Arveldatud kogus"
"Qty Shipped","Lähetatud kogus"
Always,Alati
"Provided form does not exist","Antud vormi pole olemas"
"Incorrect CAPTCHA","Vale CAPTCHA"
"Incorrect CAPTCHA.","Vale CAPTCHA."
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Tähelepanu</strong>: Captcha on tõstutundlik."
"Reload captcha","Lae captcha uuesti"
"Attention: Captcha is case sensitive.","Tähelepanu: Captcha on tõstutundlik."
"Enable CAPTCHA in Admin","Luba CAPTCHA administaatoris"
Font,Šrift
Forms,Vormid
"Displaying Mode","Kuvamise režiim"
"Number of Unsuccessful Attempts to Login","Ebaõnnestunud sisselogimise katsete kogus"
"Number of Symbols",Sümboleid
"Case Sensitive",Tõstutundlik
"Enable CAPTCHA on Storefront","Luba CAPTCHA poevaates"
Root,Peamine
"Are you sure you want to delete this category?","Kas olete kindel, et soovite selle kategooria kustutada?"
"Use Config Settings","Kasuta üldseadeid"
"Use All Available Attributes","Kasutada kõik saadaolevaid atribuute"
"Add Subcategory","Lisa alamkategooria"
"Add Root Category","Lisa juurkategooria"
Day,Päev
[GLOBAL],[GLOBAALNE]
"[STORE VIEW]",[POEVAADE]
"WYSIWYG Editor","WYSIWYG redaktor"
"Add Product","Lisa toode"
label,silt
"Product Attributes",Tooteatribuudid
"Add New Attribute","Lisa uus atribuut"
"Save Attribute","Salvesta atribuut"
"Save in New Attribute Set","Salvesta uude atribuudikogumisse"
"Enter Name for New Attribute Set","Sisestage uue atribuudi kogumi nimi"
"Delete Attribute","Kustuta atribuut"
"Edit Product Attribute ""%1""","Muuda tooteatribuuti ""%1"""
"New Product Attribute","Uus tooteatribuut"
"Advanced Attribute Properties","Täiustatud atribuudi sätted"
"Attribute Code",Atribuudikood
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Seda kasutatakse siseselt. Veenduge, et te ei kasuta tühikuid või rohkem kui %1 sümbolit."
"Default Value",Vaikeväärtus
"Unique Value","Unikaalne väärtus"
"Unique Value (not shared with other products)","Unikaalne väärtus (ei jagata teiste toodetega)"
"Not shared with other products.","Ei jagata teiste toodetega."
"Input Validation for Store Owner","Sisendi kontroll poe omanikule"
"Add to Column Options","Veergu lisamise valikud"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Valige ""Jah"" atribuudi lisamiseks loendisse veerg Valikud toote ruudustiku."
"Use in Filter Options","Kasuta filtrites"
Website,Koduleht
Global,Globaalne
Scope,Skoop
"Storefront Properties","Poevaate seaded"
"Use in Search","Kasuta otsingus"
"Visible in Advanced Search","Nähtav täpsemas otsingus"
"Comparable on Storefront","Poes võrreldav"
"Use for Promo Rule Conditions","Kasuta hinnareeeglites"
"Allow HTML Tags on Storefront","Luba poevaates HTML märgendeid"
"Used in Product Listing","Kasutatud toodete loetelus"
"Depends on design theme.","Sõltub kujundusest."
"Used for Sorting in Product Listing","Kasutatav tootenimekirja sorteerimiseks"
"Media Image","Meedia pilt"
Gallery,Galerii
"System Properties","Süsteemi seaded"
"Data Type for Saving in Database","Andmete tüüp andmebaasi salvestamiseks"
Text,Tekst
Static,Staatiline
Datetime,Kuupäev-kellaaeg
Decimal,"Kümnendkohtade arv"
Integer,Täisarv
"Globally Editable","Globaalselt muudetav"
"Attribute Information","Atribuudi Informatsioon"
Properties,Atribuudid
"Manage Labels","Halda silte"
Visible,Nähtav
Searchable,Otsitav
Comparable,Võrreldav
"Delete Selected Group","Kustuta valitud grupp"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Olete kustutamas kõiki tooteid selles atribuudi kogumikus. Kas soovite kindlasti seda teha?"
"New Set Name","Uue kogumi nimi"
"Edit Attribute Set '%1'","Muuda atribuudikogumit '%1'"
Empty,Tühi
"Add Attribute","Lisa Atribuut"
"Add New Group","Lisa uus grupp"
"Add Group","Lisa grupp"
"For internal use","Sisemiseks kasutamiseks"
"Based On",Põhineb
"Edit Attribute Set Name","Muuda atribuudikogumiku nime"
"Add New Attribute Set","Lisa uus atribuudikogum"
"Add Attribute Set","Lisa atribuudikogumik"
"Attribute Sets",Atribuudikogumid
"Close Window","Sulge aken"
"New Product","Uus toode"
"Save & Edit","Salvesta & Muuda"
"Save & New","Salvesta & Uus"
"Save & Duplicate","Salvesta & Duplikeeri"
"Save & Close","Salvesta & Sulge"
Change,Vaheta
"Advanced Inventory","Täpsem inventar"
Websites,Veebisaidid
"Products Information","Toodete informatsioon"
"Create Category","Uus kategooria"
"Category Name","Kategooria nimi"
"Parent Category",Juurkategooria
"Subscribe Date","Tellimise kuupäev"
"Last Notified","Viimati teavitatud"
"Send Count","Saada kogus"
"New Attribute","Uus atribuut"
"Attribute Set",Atribuudikogum
"Add New Option","Lisa uus valik"
"Import Options","Importi valikud"
"Add New Row","Lisa uus rida"
"Delete Row","Kustuta rida"
"Default Price",Vaikehind
"ALL GROUPS","KÕIK GRUPID"
"Add Price","Lisa hind"
"Default Values",Vaikeväärtused
"Related Products","Seotud tooted"
Up-sells,Asendusmüügid
Cross-sells,Lisamüük
"Watermark File for %1","Vesimärgi fail %1 jaoks"
"Change Status","Muuda olekut"
"Update Attributes","Uuenda atribuute"
"start typing to search category","alusta trükkimist et otsida kategooriast"
"New Category","Uus kategooria"
"Add New Images","Lisa uued pildid"
"Inc. Tax",Maksuga
"Does this have a weight?","Kas sellel tootel on kaal?"
"Low Stock Products","Madala laoseisuga tooted"
"Go to Home Page",Avalehele
"Subscribe to RSS Feed","Telli RSS voog"
"Products Comparison List","Toodete võrdlusnimekiri"
"New Products from %1","Uued tooted alates %1"
"New Products","Uued tooted"
"%1 - Special Products","%1 - Erilised tooted"
"Click for price","Vajuta et hinda näha"
"Special Expires On: %1","Pakkumine aegub: %1"
"Price: %1","Hind: %1"
"Special Price: %1","Soodushind: %1"
"Special Products","Erilised tooted"
"Manage Catalog Categories","Halda kategooriaid"
"Manage Categories","Halda kategooriaid"
"You deleted the category.","Kategooria kustutatud."
"Something went wrong while trying to delete the category.","Midagi läks valesti kategooria kustutamisel."
Categories,Kategooriad
"Category is not available for requested store.","Kategooria ei ole selles poes saadaval."
"There was a category move error.","Kategooria liigutamisel ilmses viga."
"You moved the category.","Kategooria liigutatud."
"Something went wrong while saving the category.","Midagi läks valesti kategooria salvestamisel."
"You saved the category.","Kategooria salvestatud."
"Something went wrong while processing the request.","Päringu töötlemisel läks midagi valesti."
"Unable to add attribute","Ei saa lisada atribuuti"
"Manage Product Attributes","Hallake toote atribuute"
"We can't delete the attribute.","Me ei saa atribuuti kustutada."
"You deleted the product attribute.","Tooteatribuut kustutatud."
"We can't find an attribute to delete.","Me ei leia kustutatavat atribuuti."
"This attribute no longer exists.","Seda atribuuti enam ei ole."
"This attribute cannot be edited.","Seda atribuuti ei saa muuta."
"Edit Product Attribute","Muuda tooteatribuuti"
"An attribute set named '%1' already exists.","Atribuudikomplekt nimega '%1' on juba olemas."
"Something went wrong while saving the attribute.","Midagi läks valesti atribuuti salvestades."
"We can't update the attribute.","Me ei saa atribuuti uuendada."
"You saved the product attribute.","Tooteatribuut salvestatud."
"An attribute with this code already exists.","Selle koodiga atribuut juba eksisteerib."
"An attribute with the same code (%1) already exists.","Atribuut sama koodiga (%1) juba eksisteerib."
"The value of Admin scope can't be empty.","Administraatori skoopi väärtus ei saa olla tühi."
"You duplicated the product.","Toode duubeldatud."
"This product doesn't exist.","Sellist toodet ei ole."
"A group with the same name already exists.","Selle nimega grupp on juba olemas."
"Something went wrong while saving this group.","Midagi läks valesti gruppi salvestades."
"A total of %1 record(s) have been deleted.","Kokku kustutatud %1 kirje(t)."
"A total of %1 record(s) have been updated.","Kokku uuendatud %1 kirje(t)."
"You saved the product.","Toode salvestatud."
"SKU for product %1 has been changed to %2.","Toote %1 tootekood on muudetud koodiks %2."
"The image cannot be removed as it has been assigned to the other image role","Pilti esaa eemaldada kuna sellele on määratud teise pildi roll"
"New Attribute Set","Lisa atribuudikogumik"
"The attribute set has been removed.","Atribuutikogumik eemaldatud."
"We can't delete this set right now.","Me ei saa seda komplekti praegu kustutada."
"New Set","Uus komplekt"
"Manage Product Sets","Halda toodete kogumeid"
"Manage Attribute Sets","Halda atribuudikogumeid"
"This attribute set no longer exists.","Atribuudikogumit enam ei eksisteeri."
"You saved the attribute set.","Atribuudikomplekt salvestatud."
"Something went wrong while saving the attribute set.","Midagi läks valesti atribuudi komplekti salvestades."
"You cleared the comparison list.","Võrdlusnimekiri tühjendatud."
"Something went wrong  clearing the comparison list.","Midagi läks valesti võrdlusnimekirja tühjendamisel."
"1 item","1 toode"
"%1 items","%1 toodet"
"Are you sure you want to remove this item from your Compare Products list?","Kas soovite eemaldada selle toote võrdlusest?"
"Are you sure you want to remove all items from your Compare Products list?","Olete kindel et soovite eemaldada kõik tooted võrdlusest?"
"Invalid attribute %1","Vale atribuut %1"
Grid,Ruudustik
List,Nimekiri
"Product is not loaded","Toodet ei ole laetud"
"Sorry, but we can't find the new parent category you selected.","Kahjuks ei leia me Teie valitud uut ülemkategooriat,"
"Sorry, but we can't find the new category you selected.","Kahjuks ei leia me Teie valitud uut kategooriat."
"We can't move the category because the parent category name matches the child category name.","Me ei saa kategooriat eemaldada, sest ülemkategooria nimi on sama kui alamkategooria nimi."
"Can't delete root category.","Juurkategooriat ei saa kustutada."
"No layout updates","Kujunduse uuendused puuduvad"
"Products only","Vaid tooted"
"Static block only","Vaid staatiline plokk"
"Static block and products","Staatiline plokk ja tooted"
"Please select a static block.","Vali staatiline plokk."
frontend_label,poevaate_silt
"Could not move category","Ei saa kategooriat liigutada"
"Could not save category: %1","Ei saa salvestada kategooriat: %1"
"Cannot delete category with id %1","Ei saa kustutada kategooriat Id'ga %1"
"-- Please Select a Category --","-- Vali kategooria --"
"Grid Only","Ainult ruudustik"
"List Only","Ainult loend"
"Grid (default) / List","Ruudustik (vaikimisi) / Nimekiri"
"List (default) / Grid","Nimekiri (vaikimisi) / Ruudustik"
"Automatic (equalize price ranges)","Automaatne (võrdusta hinnavahemikud)"
"Automatic (equalize product counts)","Automaatne (võrdusta toodete kogus)"
Manual,Käsitsi
"-- Please select --","-- Vali --"
"Parent Product Thumbnail","Peatoote pisipilt"
Stretch,Venita
Top/Left,Üleval/Vasakul
Top/Right,Üleval/Parem
Bottom/Left,All/Vasakul
Bottom/Right,All/Paremal
Center,Keskel
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 ei laienda \Magento\Framework\Model\AbstractModel"
"Something went wrong while saving the file(s).","Midagi läks valesti faili(de) salvestamisel."
"File can not be saved to the destination folder.","Faili ei saa salvestada sihtkausta."
"Unknown EAV indexer type ""%1"".","Tundmatu EAV indekseerija tüüp ""%1""."
"We can't rebuild the index for an undefined product.","Me ei saa taastada määramatu toote indeksit."
"Bad value was supplied.","Vigane väärtus."
"Unsupported product type ""%1"".","Tundmatu tootetüüp ""%1""."
"Please correct the category.","Palun korrigeerige kategooriat."
